Rank,Name,Age,Net Worth,Country,Source,Industries
383,SERGEI POPOV,48,4.5,Russia,banking,Finance & Investments
383,TEDDY SAGI,48,4.5,Israel,gambling software,Gambling & Casinos
383,LARRY XIANGDONG CHEN,48,4.5,China,education,Service
383,CHE JIANXING,53,4.5,China,furniture retailing,Fashion & Retail
383,HUANG SHILIN,53,4.5,China,batteries,Energy
383,WANG LIPING & FAMILY,54,4.5,China,hydraulic machinery,Manufacturing
383,WANG ZHENHUA,58,4.5,China,real estate,Real Estate
383,TIM SWEENEY,49,4.5,United States,video games,Media & Entertainment
383,DENISE COATES,52,4.5,United Kingdom,online gambling,Gambling & Casinos
383,HIROSHI MIKITANI,55,4.5,Japan,online retail,Fashion & Retail
383,TAMARA GUSTAVSON,58,4.5,United States,self storage,Service
383,EDWIN LEONG,68,4.5,Hong Kong,real estate,Real Estate
383,ROCCO COMMISSO,70,4.5,United States,telecom,Telecom
383,ROBERT BASS,72,4.5,United States,"oil, investments",Energy
383,FRIEDE SPRINGER,77,4.5,Germany,publishing,Media & Entertainment
383,LEONARD STERN,82,4.5,United States,real estate,Real Estate
383,JAMES IRVING,92,4.5,Canada,diversified,Diversified
401,MARIE BESNIER BEAUVALOT,39,4.4,France,cheese,Food & Beverage
401,GEORG STUMPF,47,4.4,Austria,"real estate, construction",Diversified
401,WANG CHUANFU,54,4.4,China,"batteries, automobiles",Automotive
401,GUO GUANGCHANG,53,4.4,China,conglomerate,Diversified
401,JEAN-MICHEL BESNIER,52,4.4,France,cheese,Food & Beverage
401,RICHARD LI,53,4.4,Hong Kong,telecom,Telecom
401,ANTTI HERLIN,63,4.4,Finland,"elevators, escalators",Manufacturing
401,RAY LEE HUNT,77,4.4,United States,"oil, real estate",Energy
401,MARC LADREIT DE LACHARRIERE,79,4.4,France,finance,Finance & Investments
401,"ROBERT RICH, JR.",79,4.4,United States,frozen foods,Food & Beverage
401,MARTHA INGRAM & FAMILY,84,4.4,United States,"book distribution, transportation",Media & Entertainment
401,"JULIAN ROBERTSON, JR.",87,4.4,United States,hedge funds,Finance & Investments
401,"WALTER SCOTT, JR. & FAMILY",88,4.4,United States,"utilities, telecom",Energy
414,ZHOU HONGYI,49,4.3,China,security software,Technology
414,DONA BERTARELLI,52,4.3,Switzerland,biotech,Diversified
414,ALEXANDRE BEHRING,53,4.3,Brazil,investments,Finance & Investments
414,MARK CUBAN,61,4.3,United States,online media,Media & Entertainment
414,MURAT ULKER,61,4.3,Turkey,food,Food & Beverage
414,TILMAN FERTITTA,62,4.3,United States,"Houston Rockets, entertainment",Food & Beverage
414,RONDA STRYKER,65,4.3,United States,medical equipment,Healthcare
414,SRI PRAKASH LOHIA,67,4.3,Indonesia,petrochemicals,Manufacturing
414,JUAN FRANCISCO BECKMANN VIDAL & FAMILY,80,4.3,Mexico,tequila,Food & Beverage
414,JOHN A. SOBRATO & FAMILY,80,4.3,United States,real estate,Real Estate
414,JIM PATTISON,91,4.3,Canada,diversified,Diversified
414,JERONIMO ARANGO & FAMILY,94,4.3,Mexico,retail,Fashion & Retail
426,WEI JIANJUN & FAMILY,56,4.2,China,automobiles,Automotive
426,STEPHEN BISCIOTTI,59,4.2,United States,"staffing, Baltimore Ravens",Sports
426,JOHN PAULSON,64,4.2,United States,hedge funds,Finance & Investments
426,DAVID SUN,68,4.2,United States,computer hardware,Technology
426,ISSAD REBRAB & FAMILY,76,4.2,Algeria,food,Food & Beverage
426,ASHWIN DANI,77,4.2,India,paints,Manufacturing
426,JOHN TU,78,4.2,United States,computer hardware,Technology
426,THEO MUELLER,80,4.2,Germany,dairy,Food & Beverage
426,CHARLES B. JOHNSON,87,4.2,United States,money management,Finance & Investments
426,SHELDON SOLOW,91,4.2,United States,real estate,Real Estate
426,BAJAJ BROTHERS,,4.2,India,diversified,Diversified
437,NATHAN BLECHARCZYK,36,4.1,United States,Airbnb,Technology
437,BRIAN CHESKY,38,4.1,United States,Airbnb,Technology
437,JOE GEBBIA,38,4.1,United States,Airbnb,Technology
437,WANG WENXUE,52,4.1,China,real estate,Real Estate
437,AXEL OBERWELLAND,53,4.1,Germany,candy,Food & Beverage
437,YEUNG KIN-MAN,56,4.1,Hong Kong,electronics,Manufacturing
437,PAN SUTONG,57,4.1,Hong Kong,"real estate, finance",Real Estate
437,ANDREI GURIEV & FAMILY,60,4.1,Russia,fertilizers,Manufacturing
437,ODD REITAN,68,4.1,Norway,"retail, real estate",Fashion & Retail
437,TAHIR & FAMILY,68,4.1,Indonesia,diversified,Diversified
437,CHEN LIP KEONG,72,4.1,Malaysia,"casinos, property, energy",Gambling & Casinos
437,GUENTHER FIELMANN & FAMILY,80,4.1,Germany,optometry,Healthcare
437,NEAL BLUE & FAMILY,85,4.1,United States,defense,Manufacturing
437,AUGUSTO & GIORGIO PERFETTI,,4.1,Italy,candy,Food & Beverage
451,RADOVAN VITEK,48,4,Czechia,real estate,Real Estate
451,RUSS WEINER,49,4,United States,energy drinks,Food & Beverage
451,WANG LINPENG,51,4,China,furniture retailing,Construction & Engineering
451,YAO LIANGSONG,55,4,China,furniture,Manufacturing
451,ZHU BAOGUO & FAMILY,57,4,China,pharmaceuticals,Healthcare
451,JOSHUA HARRIS,55,4,United States,private equity,Finance & Investments
451,YASUMITSU SHIGETA & FAMILY,55,4,Japan,mobile phone retailer,Telecom
451,SAMI MNAYMNEH,58,4,United States,private equity,Finance & Investments
451,TONY TAMER,62,4,United States,private equity,Finance & Investments
451,VIATCHESLAV KANTOR,66,4,Russia,"fertilizer, real estate",Manufacturing
451,JACK DANGERMOND,74,4,United States,mapping software,Technology
451,RONALD LAUDER,76,4,United States,Estee Lauder,Fashion & Retail
451,JERRY SPEYER,79,4,United States,real estate,Real Estate
451,LES WEXNER & FAMILY,82,4,United States,retail,Fashion & Retail
451,JANICE MCNAIR,83,4,United States,"energy, sports",Sports
451,MARGOT BIRMINGHAM PEROT,86,4,United States,"computer services, real estate",Technology
451,TRAUDL ENGELHORN & FAMILY,93,4,Germany,"pharmaceuticals, medical equipment",Healthcare
468,DING SHIZHONG & FAMILY,49,3.9,China,sports apparel,Fashion & Retail
468,QI SHI & FAMILY,50,3.9,China,financial information,Technology
468,ZHAO YAN,53,3.9,China,"real estate, finance",Diversified
468,DING SHIJIA,56,3.9,China,sports apparel,Fashion & Retail
468,WANG YUSUO & FAMILY,56,3.9,China,natural gas distribution,Energy
468,AN KANG,71,3.9,China,pharmaceuticals,Healthcare
468,MARGARITA LOUIS-DREYFUS & FAMILY,57,3.9,Switzerland,commodities,Food & Beverage
468,CARLOS RODRIGUEZ-PASTOR,60,3.9,Peru,finance,Finance & Investments
468,KEN FISHER,69,3.9,United States,money management,Finance & Investments
468,BARRY LAM,70,3.9,Taiwan,electronics,Technology
468,JUAN ROIG,70,3.9,Spain,supermarkets,Fashion & Retail
468,STEVEN UDVAR-HAZY,74,3.9,United States,aircraft leasing,Service
468,IGOR OLENICOFF,77,3.9,United States,real estate,Real Estate
468,ISAAC PERLMUTTER,77,3.9,United States,Marvel comics,Media & Entertainment
468,GUSTAF DOUGLAS,82,3.9,Sweden,investments,Diversified
468,LAM WAI YING,,3.9,Hong Kong,smartphone screens,Manufacturing
484,CHENG XUE,50,3.8,China,soy sauce,Food & Beverage
484,YURI MILNER,58,3.8,Israel,tech investments,Finance & Investments
484,JEFF SUTTON,60,3.8,United States,real estate,Real Estate
484,SHAUL SHANI,65,3.8,Israel,telecom,Telecom
484,MARY ALICE DORRANCE MALONE,70,3.8,United States,Campbell Soup,Food & Beverage
484,HARRY STINE,78,3.8,United States,agriculture,Food & Beverage
484,RAHUL BAJAJ,81,3.8,India,diversified,Diversified
484,EMANUELE (LINO) SAPUTO & FAMILY,83,3.8,Canada,cheese,Food & Beverage
484,MARIA FERNANDA AMORIM & FAMILY,85,3.8,Portugal,"energy, investments",Diversified
484,MARIAN ILITCH,87,3.8,United States,Little Caesars,Food & Beverage
494,AIYAWATT SRIVADDHANAPRABHA & FAMILY,34,3.7,Thailand,duty-free,Fashion & Retail
494,KUSHAL PAL SINGH,88,3.7,India,real estate,Real Estate
494,LI WA,54,3.7,Hong Kong,real estate,Real Estate
494,MICHAL SOLOWOW,57,3.7,Poland,investments,Finance & Investments
494,REED HASTINGS,59,3.7,United States,Netflix,Media & Entertainment
494,VLADIMIR KIM,59,3.7,Kazakhstan,mining,Metals & Mining
494,MITCHELL RALES,63,3.7,United States,"manufacturing, investments",Manufacturing
494,JOHN REECE,63,3.7,United Kingdom,chemicals,Manufacturing
494,ANDREW CURRIE,64,3.7,United Kingdom,chemicals,Manufacturing
494,IDAN OFER,64,3.7,Israel,"drilling, shipping",Diversified
494,JEFF GREENE,65,3.7,United States,"real estate, investments",Real Estate
494,TREVOR REES-JONES,68,3.7,United States,oil & gas,Energy
494,MICHAEL MILKEN,73,3.7,United States,investments,Finance & Investments
494,AKIO NITORI,76,3.7,Japan,home furnishings,Fashion & Retail
494,DAVID BONDERMAN,77,3.7,United States,private equity,Finance & Investments
494,JEAN-PIERRE CAYARD,77,3.7,France,spirits,Food & Beverage
494,NEIL BLUHM,82,3.7,United States,real estate,Real Estate
494,DAVID & FREDERICK BARCLAY,86,3.7,United Kingdom,"media, retail",Diversified
494,TED LERNER & FAMILY,94,3.7,United States,real estate,Real Estate
494,ABDULLA BIN AHMAD AL GHURAIR & FAMILY,,3.7,United Arab Emirates,diversified,Diversified
514,SCOTT DUNCAN,37,3.6,United States,pipelines,Energy
514,LYNSI SNYDER,37,3.6,United States,In-N-Out Burger,Food & Beverage
514,NIE TENGYUN & FAMILY,44,3.6,China,logistics,Service
514,MILANE FRANTZ,50,3.6,United States,pipelines,Energy
514,DANNINE AVARA,56,3.6,United States,pipelines,Energy
514,LUCIANO HANG,57,3.6,Brazil,department stores,Fashion & Retail
514,RANDA DUNCAN WILLIAMS,58,3.6,United States,pipelines,Energy
514,ALEXANDRA SCHOERGHUBER,61,3.6,Germany,real estate,Real Estate
514,HEDDA IM BRAHM-DROEGE,65,3.6,Germany,consulting,Service
514,THOMAS SIEBEL,67,3.6,United States,business software,Technology
514,ALOYS WOBBEN,68,3.6,Germany,wind turbines,Energy
514,RITA TONG LIU,71,3.6,Hong Kong,real estate,Real Estate
514,ROGER WANG,71,3.6,United States,retail,Fashion & Retail
514,STEVEN SPIELBERG,73,3.6,United States,movies,Media & Entertainment
514,RODGER RINEY & FAMILY,74,3.6,United States,discount brokerage,Finance & Investments
514,SHIGENOBU NAGAMORI,75,3.6,Japan,motors,Manufacturing
514,GARY ROLLINS,75,3.6,United States,pest control,Service
514,DAGMAR DOLBY & FAMILY,78,3.6,United States,Dolby Laboratories,Technology
514,SAMUEL TAK LEE,80,3.6,Hong Kong,real estate,Real Estate
514,SUMET JIARAVANON,85,3.6,Thailand,diversified,Diversified
514,DONALD STERLING,85,3.6,United States,real estate,Real Estate
514,FRITS GOLDSCHMEDING,86,3.6,Netherlands,temp agency,Service
514,LIN SHU-HONG,91,3.6,Taiwan,petrochemicals,Manufacturing
514,LEE YEOW CHOR & YEOW SENG,,3.6,Malaysia,"palm oil, property",Food & Beverage
538,ZHANG XIN & PAN SHIYI,54,3.5,China,real estate,Real Estate
538,ZHANG HONGWEI,65,3.5,China,"oil, banking",Diversified
538,BEN ASHKENAZY,50,3.5,United States,real estate,Real Estate
538,LIN BIN,52,3.5,United States,smartphones,Technology
538,IGOR KESAEV,53,3.5,Russia,"tobacco distribution, retail",Fashion & Retail
538,GABE NEWELL,57,3.5,United States,videogames,Gambling & Casinos
538,ANTHONY PRITZKER,59,3.5,United States,"hotels, investments",Service
538,DOUGLAS LEONE,62,3.5,United States,venture capital,Finance & Investments
538,M.A. YUSUFF ALI,64,3.5,India,retail,Fashion & Retail
538,HENRY SAMUELI,65,3.5,United States,semiconductors,Technology
538,URSULA BECHTOLSHEIMER-KIPP,68,3.5,Germany,retail,Real Estate
538,VINCENT BOLLORÉ & FAMILY,68,3.5,France,investments,Finance & Investments
538,DAVID STEWARD,68,3.5,United States,IT provider,Technology
538,MURALI DIVI & FAMILY,69,3.5,India,pharmaceuticals,Healthcare
538,MIN KAO & FAMILY,71,3.5,United States,navigation equipment,Technology
538,CHARLES SIMONYI,71,3.5,United States,Microsoft,Technology
538,FRANK VANDERSLOOT,71,3.5,United States,"nutrition, wellness products",Fashion & Retail
538,DULCE PUGLIESE DE GODOY BUENO,72,3.5,Brazil,"hospitals, health care",Healthcare
538,PRAJOGO PANGESTU,75,3.5,Indonesia,petrochemicals,Diversified
538,PAUL SINGER,75,3.5,United States,hedge funds,Finance & Investments
538,PATRICK LEE,78,3.5,Hong Kong,paper,Manufacturing
538,"AMOS HOSTETTER, JR.",83,3.5,United States,cable television,Media & Entertainment
538,HASMUKH CHUDGAR,86,3.5,India,pharmaceuticals,Healthcare
538,RANDALL ROLLINS,88,3.5,United States,pest control,Service
538,MONTRI JIARAVANONT,89,3.5,Thailand,diversified,Diversified
538,JARAN CHIARAVANONT,90,3.5,Thailand,diversified,Diversified
538,TEH HONG PIOW,90,3.5,Malaysia,banking,Finance & Investments
565,PAVEL DUROV,35,3.4,Russia,messaging app,Technology
565,DANIEL KRETINSKY,44,3.4,Czechia,"energy, investments",Energy
565,ZHANG JIN,48,3.4,China,diversified,Diversified
565,DONG WEI,49,3.4,China,pharmaceuticals,Healthcare
565,HUANG RULUN,68,3.4,China,real estate,Real Estate
565,SERGEI GALITSKY,52,3.4,Russia,retail,Fashion & Retail
565,LUDWIG MERCKLE,55,3.4,Germany,pharmaceuticals,Finance & Investments
565,J.B. PRITZKER,55,3.4,United States,"hotels, investments",Finance & Investments
565,PANSY HO,57,3.4,Hong Kong,casinos,Gambling & Casinos
565,JUAN CARLOS ESCOTET,60,3.4,Venezuela,banking,Finance & Investments
565,"ENRIQUE RAZON, JR.",60,3.4,Philippines,ports,Logistics
565,RICK CARUSO,61,3.4,United States,real estate,Real Estate
565,JAIME GILINSKI BACAL,62,3.4,Colombia,banking,Finance & Investments
565,BUBBA CATHY,65,3.4,United States,Chick-fil-A,Food & Beverage
565,MICHAEL MORITZ,65,3.4,United States,venture capital,Technology
565,DAN CATHY,67,3.4,United States,Chick-fil-A,Food & Beverage
565,RICHARD BRANSON,69,3.4,United Kingdom,Virgin,Diversified
565,MIGUEL KRIGSNER,70,3.4,Brazil,cosmetics,Fashion & Retail
565,ROMESH T. WADHWANI,72,3.4,United States,software,Technology
565,THOMAS SCHMIDHEINY,74,3.4,Switzerland,cement,Construction & Engineering
565,MAHENDRA CHOKSI & FAMILY,78,3.4,India,paints,Manufacturing
565,RICHARD SCHULZE,79,3.4,United States,Best Buy,Fashion & Retail
565,LYNN SCHUSTERMAN,81,3.4,United States,"oil & gas, investments",Energy
565,AKIRA MORI & FAMILY,83,3.4,Japan,real estate,Real Estate
565,KAPIL & RAHUL BHATIA,,3.4,India,airlines,Service
590,JOHN ARNOLD,46,3.3,United States,hedge funds,Finance & Investments
590,JANE LAUDER,47,3.3,United States,Estée Lauder,Fashion & Retail
590,SHI YONGHONG & FAMILY,51,3.3,China,restaurants,Food & Beverage
590,CHU MANG YEE & FAMILY,60,3.3,China,real estate,Real Estate
590,LIN XIUCHENG & FAMILY,64,3.3,China,electronics,Technology
590,ALEXANDER SKOROBOGATKO,52,3.3,Russia,"real estate, airport",Logistics
590,DAN FRIEDKIN,55,3.3,United States,Toyota dealerships,Automotive
590,VIKRAM LAL,78,3.3,India,motorcycles,Automotive
590,ALEXANDER PONOMARENKO,55,3.3,Russia,"real estate, airport",Logistics
590,H. FISK JOHNSON,61,3.3,United States,cleaning products,Manufacturing
590,WINIFRED J. MARQUART,61,3.3,United States,cleaning products,Manufacturing
590,SHARI ARISON,62,3.3,Israel,Carnival Cruises,Service
590,CHRISTOPH ZELLER,62,3.3,Liechtenstein,dental implants,Healthcare
590,HELEN JOHNSON-LEIPOLD,63,3.3,United States,cleaning products,Manufacturing
590,MEG WHITMAN,63,3.3,United States,eBay,Technology
590,S. CURTIS JOHNSON,64,3.3,United States,cleaning products,Manufacturing
590,JOHN MIDDLETON,65,3.3,United States,tobacco,Food & Beverage
590,JOHN CATSIMATIDIS,71,3.3,United States,"oil, real estate",Energy
590,MOHED ALTRAD,72,3.3,France,"scaffolding, cement mixers",Construction & Engineering
590,MOHAMED MANSOUR,72,3.3,Egypt,diversified,Diversified
590,ARTURO MORENO,73,3.3,United States,"billboards, Anaheim Angels",Sports
590,DIRK ROSSMANN & FAMILY,73,3.3,Germany,drugstores,Fashion & Retail
590,ARNON MILCHAN,75,3.3,Israel,movie making,Media & Entertainment
590,MICHAEL OTTO,76,3.3,Germany,"retail, real estate",Fashion & Retail
590,MAJID AL FUTTAIM & FAMILY,,3.3,United Arab Emirates,"real estate, retail",Real Estate
590,ANTHONY VON MANDL,,3.3,Canada,alcoholic beverages,Food & Beverage
616,JOHN COLLISON,29,3.2,Ireland,payments software,Technology
616,PATRICK COLLISON,31,3.2,Ireland,payment software,Technology
616,JONATHAN GRAY,50,3.2,United States,investments,Finance & Investments
616,MICREE ZHAN,41,3.2,China,Cryptocurrency mining chips,Technology
616,JIANG BIN,53,3.2,China,acoustic components,Technology
616,ZHANG WENZHONG,58,3.2,China,supermarkets,Fashion & Retail
616,XU JINGREN,75,3.2,China,pharmaceuticals,Healthcare
616,LI HAIYAN,,3.2,China,restaurants,Food & Beverage
616,YAKIR GABAY,53,3.2,Cyprus,real estate,Real Estate
616,MARC ROWAN,57,3.2,United States,private equity,Finance & Investments
616,BERT BEVERIDGE,58,3.2,United States,vodka,Food & Beverage
616,DARYL KATZ,58,3.2,Canada,pharmacies,Diversified
616,HANS GEORG NAEDER,58,3.2,Germany,prosthetics,Manufacturing
616,CHIP WILSON,63,3.2,Canada,Lululemon,Fashion & Retail
616,MASAHIRO MIKI,64,3.2,Japan,shoes,Fashion & Retail
616,ANDREJ BABIS,65,3.2,Czechia,agriculture,Food & Beverage
616,MARTIN HAEFNER,66,3.2,Switzerland,"software, investments",Technology
616,CHARLES COHEN,68,3.2,United States,real estate,Real Estate
616,DENISE YORK & FAMILY,69,3.2,United States,San Francisco 49ers,Sports
616,YITZHAK TSHUVA,71,3.2,Israel,real estate,Real Estate
616,JOHN MORRIS,72,3.2,United States,sporting goods retail,Fashion & Retail
616,GAYLE BENSON,73,3.2,United States,pro sports teams,Sports
616,LEON G. COOPERMAN,76,3.2,United States,hedge funds,Finance & Investments
616,TUNG CHEE CHEN,77,3.2,Hong Kong,shipping,Logistics
616,TOM GOLISANO,78,3.2,United States,payroll services,Service
616,"RUPERT JOHNSON, JR.",79,3.2,United States,money management,Finance & Investments
616,"JEREMY JACOBS, SR. & FAMILY",80,3.2,United States,food service,Service
616,JAMES LEPRINO,82,3.2,United States,cheese,Food & Beverage
616,KEN LANGONE,84,3.2,United States,investments,Finance & Investments
616,RONALD MCAULAY,84,3.2,Hong Kong,energy,Energy
616,GUENTHER LEHMANN & FAMILY,,3.2,Germany,drugstores,Fashion & Retail
616,PAOLO & GIANFELICE MARIO ROCCA,,3.2,Italy,pipe manufacturing,Metals & Mining
648,DMITRY BUKHMAN,34,3.1,Russia,online games,Media & Entertainment
648,IGOR BUKHMAN,38,3.1,Russia,online games,Media & Entertainment
648,IGOR ALTUSHKIN,49,3.1,Russia,metals,Metals & Mining
648,YI ZHENG,49,3.1,China,software,Technology
648,LU XIANGYANG,57,3.1,China,"automobiles, batteries",Automotive
648,HUANG LI,56,3.1,China,imaging systems,Technology
648,WU ZHIGANG & FAMILY,85,3.1,China,bakery chain,Food & Beverage
648,KAREL KOMAREK,51,3.1,Czechia,"oil and gas, IT, lotteries",Gambling & Casinos
648,ERMAN ILICAK,52,3.1,Turkey,construction,Construction & Engineering
648,CHAIRUL TANJUNG,57,3.1,Indonesia,diversified,Diversified
648,DANIEL OCH,59,3.1,United States,hedge funds,Finance & Investments
648,JANE GOLDMAN,64,3.1,United States,real estate,Real Estate
648,AMY GOLDMAN FOWLER,65,3.1,United States,real estate,Real Estate
648,ANIL AGARWAL & FAMILY,66,3.1,India,"mining, metals",Metals & Mining
648,ABHAY VAKIL & FAMILY,69,3.1,India,Paints,Manufacturing
648,THOMAS PRITZKER,69,3.1,United States,"hotels, investments",Finance & Investments
648,ALAIN BOUCHARD,71,3.1,Canada,retail,Fashion & Retail
648,JOHN SALL,72,3.1,United States,software,Technology
648,PETER HARGREAVES,73,3.1,United Kingdom,financial services,Finance & Investments
648,DIANE KEMPER,74,3.1,United States,real estate,Real Estate
648,PARK YEON-CHA,74,3.1,South Korea,sneakers,Manufacturing
648,JOHN PAUL DEJORIA,75,3.1,United States,"hair products, tequila",Fashion & Retail
648,KARSANBHAI PATEL,76,3.1,India,consumer goods,Diversified
648,DON HANKEY,76,3.1,United States,auto loans,Finance & Investments
648,ALLAN GOLDMAN,77,3.1,United States,real estate,Real Estate
648,NICOLAS PUECH,77,3.1,France,Hermes,Fashion & Retail
648,STEVE WYNN,78,3.1,United States,"casinos, hotels",Gambling & Casinos
648,"EDWARD ROSKI, JR.",81,3.1,United States,real estate,Real Estate
648,GUSTAVO DENEGRI,83,3.1,Italy,biotech,Healthcare
648,THOMAS HAGEN,84,3.1,United States,insurance,Finance & Investments
648,BERNARD ECCLESTONE & FAMILY,89,3.1,United Kingdom,Formula One,Sports
648,MASATOSHI ITO,95,3.1,Japan,retail,Fashion & Retail
680,TOBI LUTKE,39,3,Canada,e-commerce,Technology
680,ORLANDO BRAVO,49,3,United States,private equity,Finance & Investments
680,FANG WEI,46,3,China,steel,Manufacturing
680,BENJAMIN ZHENGMIN PAN & FAMILY,50,3,China,electronics,Technology
680,FU LIQUAN,52,3,China,surveillance equipment,Technology
680,MICHAEL MINHONG YU,58,3,China,education,Service
680,JOSEPH LIEMANDT,51,3,United States,software,Technology
680,YU YONG,59,3,China,mining,Finance & Investments
680,LI LIUFA & FAMILY,62,3,China,"steel, diversified",Diversified
680,CHRISTIAN HAUB,55,3,Germany,retail,Fashion & Retail
680,PIERO FERRARI,74,3,Italy,automobiles,Automotive
680,"WILLIAM WRIGLEY, JR.",56,3,United States,chewing gum,Food & Beverage
680,SUH KYUNG-BAE,57,3,South Korea,cosmetics,Fashion & Retail
680,GWENDOLYN SONTHEIM MEYER,58,3,United States,Cargill,Food & Beverage
680,ANGELA LEONG,59,3,Hong Kong,casinos,Real Estate
680,BARRY STERNLICHT,59,3,United States,private equity,Finance & Investments
680,JAMES IRSAY,60,3,United States,Indianapolis Colts,Sports
680,ERIC SMIDT,60,3,United States,hardware stores,Fashion & Retail
680,RAFAEL DEL PINO Y CALVO-SOTELO,61,3,Spain,construction,Construction & Engineering
680,THAI LEE,61,3,United States,IT provider,Technology
680,NAGUIB SAWIRIS,65,3,Egypt,telecom,Telecom
680,THOMAS SECUNDA,65,3,United States,Bloomberg LP,Media & Entertainment
680,HOWARD SCHULTZ,66,3,United States,Starbucks,Food & Beverage
680,CARL BENNET,68,3,Sweden,investments,Finance & Investments
680,CARRIE PERRODO & FAMILY,69,3,France,oil,Energy
680,BENNETT DORRANCE,74,3,United States,Campbell Soup,Food & Beverage
680,BARRY DILLER,78,3,United States,online media,Media & Entertainment
680,HEIDI HORTEN,79,3,Austria,retail,Fashion & Retail
680,GIUSEPPE DE'LONGHI & FAMILY,80,3,Italy,coffee makers,Fashion & Retail
680,JOHN BROWN,85,3,United States,medical equipment,Healthcare
680,IRA RENNERT,85,3,United States,investments,Finance & Investments
680,MARTIN & OLIVIER BOUYGUES,,3,France,"construction, media",Construction & Engineering
712,KWON HYUK-BIN,46,2.9,South Korea,online games,Technology
712,MICHAEL RUBIN,47,2.9,United States,online retail,Fashion & Retail
712,ANDRE ESTEVES,51,2.9,Brazil,banking,Finance & Investments
712,SU HUA,38,2.9,China,video streaming,Media & Entertainment
712,WANG ZHENDONG,43,2.9,China,education,Service
712,CHEN JIANHUA,49,2.9,China,chemicals,Manufacturing
712,WONG LUEN HEI,58,2.9,China,building materials,Manufacturing
712,ZHOU JIANPING,59,2.9,China,fashion retail,Fashion & Retail
712,XUE XIANGDONG & FAMILY,61,2.9,China,software,Technology
712,ZHENG SHULIANG & FAMILY,74,2.9,China,aluminum products,Metals & Mining
712,MARK SHOEN,69,2.9,United States,U-Haul,Automotive
712,ABDULSAMAD RABIU,59,2.9,Nigeria,"cement, sugar",Diversified
712,RICHARD CHANDLER,61,2.9,New Zealand,investments,Finance & Investments
712,DENIS O'BRIEN,61,2.9,Ireland,telecom,Telecom
712,PIERRE CHEN,63,2.9,Taiwan,electronics,Technology
712,STEVEN KLINSKY,63,2.9,United States,investments,Finance & Investments
712,MICHAEL HINTZE,66,2.9,Australia,investment,Finance & Investments
712,PANKAJ PATEL,67,2.9,India,pharmaceuticals,Healthcare
712,SCOTT COOK,67,2.9,United States,software,Technology
712,HANS LANGER,68,2.9,Germany,3D printing,Manufacturing
712,TAKAO YASUDA,70,2.9,Japan,retail,Fashion & Retail
712,DANIEL D'ANIELLO,73,2.9,United States,private equity,Finance & Investments
712,DAN OLSSON,73,2.9,Sweden,diversified,Diversified
712,RUDOLF MAAG,74,2.9,Switzerland,medical devices,Healthcare
712,JUAN ABELLO,78,2.9,Spain,investments,Finance & Investments
712,GLEN TAYLOR,78,2.9,United States,printing,Service
712,HANS PETER WILD,78,2.9,Switzerland,flavorings,Food & Beverage
712,MASAHIRO NODA,81,2.9,Japan,software,Technology
712,PATRICK RYAN,82,2.9,United States,insurance,Finance & Investments
712,JOHN GANDEL,85,2.9,Australia,shopping malls,Real Estate
712,"BERNARD SAUL, II.",87,2.9,United States,"banking, real estate",Finance & Investments
743,ZHANG TAO,47,2.8,China,e-commerce,Fashion & Retail
743,QIU GUANGHE & FAMILY,68,2.8,China,fashion retail,Fashion & Retail
743,SU SUYU & FAMILY,71,2.8,China,"utilities, real estate",Real Estate
743,DINARA KULIBAEVA,52,2.8,Kazakhstan,banking,Finance & Investments
743,TIMUR KULIBAEV,53,2.8,Kazakhstan,banking,Finance & Investments
743,KIM BEOM-SU,54,2.8,South Korea,online services,Technology
743,DANIEL LOEB,58,2.8,United States,hedge funds,Finance & Investments
743,JAY CHAUDHRY,60,2.8,United States,security software,Technology
743,JOE MANSUETO,63,2.8,United States,investment research,Finance & Investments
743,"STEPHEN MANDEL, JR.",64,2.8,United States,hedge funds,Finance & Investments
743,MAJA OERI,65,2.8,Switzerland,Pharmaceuticals,Healthcare
743,PHILIP NIARCHOS,66,2.8,Greece,art collection,Diversified
743,CLIVE PALMER,66,2.8,Australia,mining,Metals & Mining
743,OR WAI SHEUN,68,2.8,Hong Kong,real estate,Real Estate
743,ARKADY ROTENBERG,68,2.8,Russia,"construction, pipes, banking",Construction & Engineering
743,JAMES JANNARD,70,2.8,United States,sunglasses,Fashion & Retail
743,DAVID RUBENSTEIN,70,2.8,United States,private equity,Finance & Investments
743,OTTO HAPPEL,72,2.8,Germany,engineering,Construction & Engineering
743,JUERGEN BLICKLE,73,2.8,Germany,auto parts,Manufacturing
743,RICHARD LEFRAK & FAMILY,74,2.8,United States,real estate,Real Estate
743,PIERRE BELLON & FAMILY,90,2.8,France,food services,Service
764,SEAN PARKER,40,2.7,United States,Facebook,Technology
764,GOD NISANOV,47,2.7,Russia,real estate,Real Estate
764,SHU PING,50,2.7,Singapore,restaurants,Food & Beverage
764,ERIC LEFKOFSKY,50,2.7,United States,Groupon,Technology
764,MARTIN LORENTZON,51,2.7,Sweden,Spotify,Technology
764,JASON JIANG,47,2.7,China,advertising,Media & Entertainment
764,SUN HUAIQING & FAMILY,50,2.7,China,cosmetics,Fashion & Retail
764,LI ZHONGCHU,56,2.7,China,software,Technology
764,FENG HAILIANG,59,2.7,China,"copper, education",Metals & Mining
